datum_i_vreme_polaska,datum_i_vreme_dolaska,broj_leta,sifra,zauzetost
2023-10-10 12:00:00,2023-10-10 13:00:00,RS01,5319,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-11 12:00:00,2023-10-11 13:00:00,RS01,5320,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-12 12:00:00,2023-10-12 13:00:00,RS01,5321,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-17 12:00:00,2023-10-17 13:00:00,RS01,5322,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-18 12:00:00,2023-10-18 13:00:00,RS01,5323,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-19 12:00:00,2023-10-19 13:00:00,RS01,5324,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-24 12:00:00,2023-10-24 13:00:00,RS01,5325,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-25 12:00:00,2023-10-25 13:00:00,RS01,5326,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-26 12:00:00,2023-10-26 13:00:00,RS01,5327,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-03 06:30:00,2024-03-03 07:30:00,RS02,5328,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-04 06:30:00,2024-03-04 07:30:00,RS02,5329,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-08 06:30:00,2024-03-08 07:30:00,RS02,5330,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-10 06:30:00,2024-03-10 07:30:00,RS02,5331,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-11 06:30:00,2024-03-11 07:30:00,RS02,5332,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-15 06:30:00,2024-03-15 07:30:00,RS02,5333,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-17 06:30:00,2024-03-17 07:30:00,RS02,5334,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-18 06:30:00,2024-03-18 07:30:00,RS02,5335,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
